player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Ashertmarn,PALADIN,0,0,0,0
Assra,WARLOCK,0,0,0,0
Avatari,MAGE,101,0,186,-85
Averias,PRIEST,1066,0,1344,-203
Aviende,PALADIN,613,0,696,-73
Banktox,WARRIOR,0,0,0,0
Bh,DRUID,20,0,20,0
Bubblann,PRIEST,152,0,365,-169
Bubblewaffle,PALADIN,49,0,50,-1
Buzzbox,ROGUE,0,0,0,0
Carlosmanson,MAGE,0,0,0,0
Carpetlamp,MAGE,369,0,845,-414
Coilnova,MAGE,0,0,46,0
Colejones,PRIEST,358,0,401,-43
Consecratus,PALADIN,317,0,553,-216
Cptburcea,PALADIN,54,0,78,-24
Crownedclown,ROGUE,886,0,1244,-264
Crownedcrow,MAGE,0,0,0,0
Cruelmind,WARLOCK,845,0,1244,-89
Cudtastic,WARLOCK,56,0,135,-35
Daigonarthis,HUNTER,0,0,0,0
Darkdaemon,WARLOCK,532,0,774,-226
Darnella,ROGUE,665,0,1284,-595
Defrag,MAGE,97,0,543,-432
Defraz,PALADIN,0,0,0,0
Dijana,DRUID,1111,0,1214,-79
Dotje,WARLOCK,0,0,0,0
Enlightened,PALADIN,0,0,0,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,273,0,280,-5
Estroguen,ROGUE,0,0,46,0
Everyone,HUNTER,0,0,0,0
Farmerman,MAGE,0,0,0,0
Fizzlerick,MAGE,0,0,0,0
Fizzlewick,WARLOCK,0,0,0,0
Fredrick,WARLOCK,0,0,44,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,660,0,671,-1
Galisa,PRIEST,250,0,403,-109
Gustu,MAGE,380,0,1284,-889
Gzeh,PRIEST,737,0,1075,-314
Haoni,MAGE,210,0,1155,-931
He,MAGE,0,0,0,0
Hellblazer,HUNTER,409,0,411,-2
Hense,HUNTER,722,0,1122,-321
Hepburn,WARLOCK,80,0,80,0
Himmel,DRUID,0,0,0,0
Himmelbank,WARLOCK,0,0,0,0
Himmelfallen,PALADIN,874,0,1179,-276
Hubba,WARRIOR,893,0,1241,-309
Ibirowg,ROGUE,0,0,46,0
Ignutz,WARLOCK,0,0,0,0
Inheritbank,PRIEST,0,0,0,0
Joeman,WARRIOR,30,0,30,0
Jonescole,WARLOCK,0,0,0,0
Kinkygnome,ROGUE,0,0,0,0
Kolth,ROGUE,646,0,1184,-497
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,731,0,741,0
Kru,MAGE,78,0,1294,-1192
Kutta,ROGUE,0,0,0,0
Legendasn,WARLOCK,0,0,0,0
Legendsn,MAGE,572,0,955,-349
Lepa,WARLOCK,0,0,46,0
Liaza,PALADIN,40,0,40,0
Malkokote,WARRIOR,0,0,44,0
Markoboi,WARRIOR,0,0,0,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,888,0,1118,-180
Mcinherit,PALADIN,0,0,0,0
Mcinherita,PALADIN,0,0,44,0
Meharus,WARLOCK,0,0,0,0
Mengloð,DRUID,669,0,835,-141
Menom,DRUID,206,0,256,-6
Merell,WARRIOR,0,0,0,0
Microbank,MAGE,0,0,0,0
Moongrace,HUNTER,117,0,887,-744
Naaldlooshii,WARLOCK,116,0,641,-515
Nensi,PRIEST,20,0,20,0
Neragoul,WARRIOR,0,0,0,0
Nugged,MAGE,0,0,46,0
Nuru,PRIEST,0,0,0,0
Nuug,DRUID,0,0,0,0
Nuuh,ROGUE,586,0,1035,-400
Nykurin,PRIEST,0,0,0,0
Oathbringer,PALADIN,0,0,0,0
Orymo,PRIEST,646,0,771,-99
Ozzyian,WARRIOR,837,0,1234,-368
Paavi,PRIEST,20,0,20,0
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,561,0,687,-46
Perfolion,PRIEST,0,0,46,0
Piu,MAGE,145,0,186,-41
Powerranger,PALADIN,226,0,554,-240
Pyrotype,WARLOCK,0,0,44,0
Qnt,MAGE,177,0,186,-9
Ragnvald,WARRIOR,30,0,30,0
Ravenheart,HUNTER,0,0,0,0
Resetho,WARLOCK,0,0,0,0
Reshepir,WARLOCK,0,0,0,0
Ribbit,PALADIN,992,0,1384,-268
Ribbiti,MAGE,0,0,0,0
Ripulisukka,MAGE,0,0,44,0
Rupi,WARRIOR,392,0,445,-53
Saarge,WARRIOR,651,0,661,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Sansloes,ROGUE,0,0,0,0
Sanslos,WARRIOR,419,0,551,-122
Shiverra,WARLOCK,467,0,529,-17
Skoggs,PALADIN,0,0,46,0
Slayhra,PRIEST,0,0,0,0
Slayra,ROGUE,112,0,493,-324
Slayrah,WARRIOR,0,0,0,0
Spaceout,ROGUE,22,0,254,-3
Starac,HUNTER,150,0,465,-127
Sturdysock,WARRIOR,0,0,0,0
Synkou,HUNTER,744,0,916,-142
Taria,MAGE,0,0,46,0
Thrandur,WARRIOR,138,0,152,-4
Tinykrissie,MAGE,0,0,0,0
Tinyslayer,ROGUE,0,0,44,0
Tommo,PRIEST,295,0,399,-104
Tomte,PRIEST,759,0,1204,-420
Toxxy,WARRIOR,0,0,44,0
Trubikal,WARLOCK,0,0,0,0
Tyrandela,DRUID,0,0,46,0
Uniquespirit,PRIEST,0,0,0,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,145,0,443,-284
Vindizle,ROGUE,607,0,1649,-504
Wariu,WARRIOR,661,0,1259,-485
Waynejones,MAGE,0,0,0,0
Weirdy,MAGE,562,0,1228,-540
Wiedzmín,HUNTER,366,0,571,-205
Xedulus,WARLOCK,84,0,433,-304
Zacoo,WARRIOR,606,0,1215,-585
Zarpe,HUNTER,0,0,46,0
